tip	date	distance	residual
KC880486_06-05-2010	2010.3424657534247	0.005074575477859251	1.309348406547126E-4
KC880487_11-05-2010	2010.3561643835617	0.003958595392859251	-0.0011358462065126397
KC880484_01-05-2010	2010.3287671232877	0.0028465876494032506	-0.0019462520256303827
KC880485_12-05-2010	2010.358904109589	0.0028465202989362503	-0.0022780814928698213
KC880379_26-04-2010	2010.3150684931506	0.007096926581353251	0.0024548878684905228
KC880482_15-05-2010	2010.3671232876711	0.005875627267453251	6.605448983481891E-4
KC880483_21-05-2010	2010.3835616438357	0.0062427196593532516	8.466761356431037E-4
KC880479_07-04-2010	2010.2630136986302	0.00404739894995325	-2.1596106670697043E-5
KC880480_15-05-2010	2010.3671232876711	0.006243656959953252	0.0010285745908481898
KC880491_01-05-2010	2010.3287671232877	0.009535394752113251	0.004742555077079618
KC880495_23-04-2010	2010.3068493150686	0.007297375495113251	0.0027458173595495128
KC880497_10-05-2010	2010.3534246575343	0.0017415366812462505	-0.003322744725691459
KC880511_18-09-2010	2010.7123287671234	0.012604920079634251	0.003589653463865016
KC880512_21-09-2010	2010.7205479452055	0.012604920079634251	0.0034991728865660255
KC880370_22-11-2010	2010.890410958904	0.012633377809634251	0.001657698685671673
KC880506_08-10-2010	2010.7671232876712	0.004945645457704251	-0.004672825006737946
KC880507_11-11-2010	2010.8602739726027	0.00819318704053425	-0.0024507299666558895
KC880508_24-10-2010	2010.8109589041096	0.008093649897734251	-0.0020073836456477364
KC880365_22-11-2010	2010.890410958904	0.007461414943034251	-0.0035142641809283275
KC880504_15-07-2010	2010.5342465753424	0.004757266754934251	-0.0022975873526345355
KC880505_15-07-2010	2010.5342465753424	0.004757266754934251	-0.0022975873526345355
KC880503_03-05-2010	2010.3342465753424	0.0050159152639342505	1.6275520403225517E-4
KC880470_10-05-2010	2010.3534246575343	0.0028412245810342505	-0.002223056825903459
KC880489_21-04-2010	2010.3013698630136	0.0017418729524742503	-0.0027493647982211257
KC880490_03-04-2010	2010.2520547945205	0.0017416201885022504	-0.002206734098384973
KC880371_12-08-2010	2010.6109589041096	0.011459865359763252	0.0035605258640480555
KC880447_12-08-2010	2010.6109589041096	0.00816480616976325	2.6546667404805414E-4
KC880380_08-06-2010	2010.4328767123288	0.004894110073763251	-0.0010448169137550496
KC880372_28-03-2010	2010.2356164383561	0.00585809056066325	0.00209069742837756
KC880514_28-05-2010	2010.4027397260274	0.005021547562363251	-5.856173083826112E-4
KC880373_02-06-2010	2010.4164383561645	0.0062103288021332515	4.523629692164844E-4
KC880513_10-05-2010	2010.3534246575343	0.0038229697371332506	-0.001241311669804459
KC880366_10-04-2010	2010.2712328767122	0.005084979660033251	9.255040261103133E-4
KC880367_10-04-2010	2010.2712328767122	0.005059003761933251	8.995281280103134E-4
KC880466_28-06-2010	2010.4876712328767	0.0038576535890332505	-0.0026844772471615644
KC880374_19-06-2010	2010.4630136986302	0.004069638457753251	-0.002201050646537488
KC880464_09-05-2010	2010.3506849315067	0.0038485115100532503	-0.0011856097044502783
KC880467_26-04-2010	2010.3150684931506	0.0038522951988632505	-7.897435139994778E-4
KC880493_04-05-2010	2010.33698630137	0.004913769743863251	3.044949152707435E-5
KC880369_10-04-2010	2010.2712328767122	0.009157659290463251	0.004998183656540313
KC880488_04-04-2010	2010.2547945205479	0.0035861673804632502	-3.923470988581542E-4
KC880368_10-04-2010	2010.2712328767122	0.009956551855463252	0.005797076221540314
KC880471_07-05-2010	2010.345205479452	0.0035418251914632504	-0.0014319756381719162
KC880465_10-05-2010	2010.3534246575343	0.004623956632763251	-4.4032477417445866E-4
KC880463_01-05-2010	2010.3287671232877	0.0026761864072632506	-0.0021166532677703827
KC880492_01-05-2010	2010.3287671232877	0.006028725205363251	0.0012358855303296178
KC880494_05-05-2010	2010.3397260273973	0.004913480277436749	-1.6733360790749385E-10
KC880515_04-08-2010	2010.5890410958905	0.009551961329380852	0.0018939033731355508
KC880518_06-10-2010	2010.7616438356165	0.013991082363404852	0.0044329322838310165
KC880516_04-08-2010	2010.5890410958905	0.009551946322166853	0.0018938883659215516
KC880517_16-08-2010	2010.6219178082192	0.009551938717840653	0.0015319584523887323
KC880472_08-04-2010	2010.2657534246575	0.0020189996285132506	-0.002080155620541325
KC880473_18-06-2010	2010.4602739726026	0.005502898136213251	-7.376307756433069E-4
KC880519_02-07-2010	2010.4986301369863	0.0066204784062132505	-4.229319971828845E-5
KC880474_12-04-2010	2010.2767123287672	0.00353910786121325	-6.806881575780496E-4
KC880475_31-05-2010	2010.4109589041095	0.0033652400477532504	-0.0023324054002951547
KC880476_05-05-2010	2010.3397260273973	0.0066568758237332505	0.0017433953789628932
KC880477_14-05-2010	2010.3643835616438	0.0036020355194332503	-0.0015828866572376306
KC880478_09-04-2010	2010.268493150685	0.0027019008770332504	-0.0014274145644555063
KC880394_13-03-2010	2010.194520547945	0.0018653973083322503	-0.0014495929374442776
KC880445_16-04-2010	2010.2876712328766	0.005184907465981151	8.444706774566801E-4
KC880448_16-04-2010	2010.2876712328766	0.004095954969981151	-2.444818185433203E-4
KC880446_22-04-2010	2010.304109589041	0.00408263986098115	-4.3875808214840703E-4
KC880392_14-05-2010	2010.3643835616438	0.0018700693005613504	-0.0033148528761095305
KC880388_05-03-2010	2010.172602739726	0.0018691962621844504	-0.0012045124441221822
KC880469_23-04-2010	2010.3068493150686	0.006314968712246452	0.0017634105766827137
KC880449_21-03-2010	2010.2164383561644	0.0029755894751364504	-5.806823101099728E-4
